"Suffix JS/CSS Settings","Configuration de Bubble Queryfier"
"Enable","Activer"
"Add a query parameter to js and css files?","Ajouter un paramètre aux fichiers css et js ?"
"Auto Generate Suffix","Générer automatiquement le paramètre"
"Will automatically add query parameter based on last modification date.","Le paramètre sera généré en récupérant la date de dernière modification du fichier."
"Suffix","Paramètre"
"Will be added like this: <span style=""white-space:nowrap;"">?q=suffix</span> (just specify the suffix, it will be encoded via urlencode). For example: 20120810","Ajoutera le paramètre spécifié sous la forme <span style=""white-space:nowrap;"">?q=paramètre.</span>"
"Full overview available","Aperçu complet disponible"
"here","ici"
"Bubble Queryfier helps you adding a query parameter to static files (.css, .js), this will force cache refresh on client-side.","Bubble Queryfier est utile pour forcer l'actualisation des fichiers statiques côté client (.css, .js) grâce à un paramètre ajouté dans l'url."
"http://www.bubblecode.net/en/2012/08/28/magento-a-module-to-force-static-files-reloading/","http://www.bubblecode.net/2012/08/28/magento-forcer-le-telechargement-des-statiques/"
