"Suffix JS/CSS Settings","Configuração do Bubble Queryfier"
"Enable","Habilitar"
"Add a query parameter to js and css files?","Adicionar um parâmetro query para arquivos JS e CSS?"
"Auto Generate Suffix","Sufixo auto gerado"
"Will automatically add query parameter based on last modification date.","Será automaticamente adicionado um parâmetro querybaseado na última data de modificação"
"Suffix","Sufixo"
"Will be added like this: <span style=""white-space:nowrap;"">?q=suffix</span> (just specify the suffix, it will be encoded via urlencode). For example: 20120810","Será adicionado como: <span style=""white-space:nowrap;"">?q=suffix</span> (apenas especifique o sufixo, ele será encodado via urlencode). Por exemplo: 20120810"
"Full overview available","Visão geral disponível"
"here","aqui"
"Bubble Queryfier helps you adding a query parameter to static files (.css, .js), this will force cache refresh on client-side.","Bubble Queryfier te ajuda a adicionar parâmetros query a arquivos estáticos(.css, .js), isso irá forçar a atualização de cache no client-side."
"http://www.bubblecode.net/en/2012/08/28/magento-a-module-to-force-static-files-reloading/","http://www.bubblecode.net/2012/08/28/magento-forcer-le-telechargement-des-statiques/"
